feature,importance,fold
X32-min_gb_X5,15.0,2
X32-max_gb_X5,52.8,2
X32/sum_gb_X5,40.0,2
X33-mean_gb_X5,26.8,2
X33-min_gb_X5,8.6,2
X33-max_gb_X5,36.8,2
X33/sum_gb_X5,29.2,2
X38-mean_gb_X5,13.6,2
X38-min_gb_X5,1.0,2
X38-max_gb_X5,18.0,2
X38/sum_gb_X5,21.2,2
yuyin_mean-mean_gb_X5,20.6,2
yuyin_mean-min_gb_X5,1.4,2
yuyin_mean-max_gb_X5,93.8,2
yuyin_mean/sum_gb_X5,45.2,2
liuliang_mean-mean_gb_X5,35.0,2
liuliang_mean-min_gb_X5,1.8,2
liuliang_mean-max_gb_X5,47.6,2
liuliang_mean/sum_gb_X5,19.6,2
baohe_mean-mean_gb_X5,43.2,2
baohe_mean-min_gb_X5,1.0,2
baohe_mean-max_gb_X5,48.0,2
baohe_mean/sum_gb_X5,51.4,2
X4-mean_gb_X26,7.4,2
X4-min_gb_X26,1.6,2
X4-max_gb_X26,0.0,2
X4/sum_gb_X26,16.8,2
X15-mean_gb_X26,132.2,2
X15-min_gb_X26,35.8,2
X15-max_gb_X26,54.2,2
X15/sum_gb_X26,42.0,2
X16-mean_gb_X26,95.0,2
X16-min_gb_X26,0.6,2
X16-max_gb_X26,58.0,2
X16/sum_gb_X26,51.4,2
X17-mean_gb_X26,61.4,2
X17-min_gb_X26,1.0,2
X17-max_gb_X26,98.2,2
X17/sum_gb_X26,63.2,2
X32-mean_gb_X26,82.6,2
X32-min_gb_X26,25.2,2
X32-max_gb_X26,74.8,2
X32/sum_gb_X26,25.8,2
X33-mean_gb_X26,73.4,2
X33-min_gb_X26,30.2,2
X33-max_gb_X26,52.8,2
X33/sum_gb_X26,32.6,2
X38-mean_gb_X26,11.4,2
X38-min_gb_X26,0.0,2
X38-max_gb_X26,16.8,2
X38/sum_gb_X26,16.8,2
yuyin_mean-mean_gb_X26,25.4,2
yuyin_mean-min_gb_X26,0.6,2
yuyin_mean-max_gb_X26,40.2,2
yuyin_mean/sum_gb_X26,27.8,2
liuliang_mean-mean_gb_X26,10.4,2
liuliang_mean-min_gb_X26,0.0,2
liuliang_mean-max_gb_X26,25.2,2
liuliang_mean/sum_gb_X26,9.2,2
baohe_mean-mean_gb_X26,56.8,2
baohe_mean-min_gb_X26,0.2,2
baohe_mean-max_gb_X26,47.0,2
baohe_mean/sum_gb_X26,42.4,2
X4-mean_gb_X33_bin,31.0,2
X4-min_gb_X33_bin,2.4,2
X4-max_gb_X33_bin,0.0,2
X4/sum_gb_X33_bin,25.0,2
X15-mean_gb_X33_bin,146.2,2
X15-min_gb_X33_bin,77.6,2
X15-max_gb_X33_bin,103.6,2
X15/sum_gb_X33_bin,114.6,2
X16-mean_gb_X33_bin,82.2,2
X16-min_gb_X33_bin,33.0,2
X16-max_gb_X33_bin,115.6,2
X16/sum_gb_X33_bin,84.2,2
X17-mean_gb_X33_bin,80.2,2
X17-min_gb_X33_bin,32.0,2
X17-max_gb_X33_bin,113.0,2
X17/sum_gb_X33_bin,99.6,2
X32-mean_gb_X33_bin,71.8,2
X32-min_gb_X33_bin,42.8,2
X32-max_gb_X33_bin,73.2,2
X32/sum_gb_X33_bin,31.4,2
